product_name,product_brand,site_category_lv1,site_category_lv2,overall_rating,review_text
notebook asus vivobook max x541nago472t intel celeron quad core 4gb 500gb tela led 156 windows 10 branco,nan,informatica,notebook,4,contente compra entrega rapida unico problema americanas troca devolucao produto consumidor problemas espera
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,4,apenas r199420eu consegui comprar lindo copo acrilico
panela pressao eletrica philips walita daily 5l timer,philips walita,eletroportateis,panela eletrica,4,supera agilidade praticidade outras panelas eletricas costumo usar outra panela cozimento arroz japonesa leva tempo 50 minutos nessa panela rapido exatamente 6 minutos recomendo
betoneira columbus roma brinquedos,roma jensen,brinquedos,veiculos brinquedo,4,filho amou parece verdade tantos detalhes
smart tv led 43 lg 43uj6525 ultra hd 4k conversor digital 4 hdmi 2 usb webos 35 painel ips hdr magic mobile connection,lg,tv home theater,tv,5,entrega prazo americanas estao parabens smart tv boa navegacao internete aplicativos excelente nao trava falar imagem surpreender recomendo
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,5,excelente produto material acrilico super resistente dentro adamantio faz milagre qualquer bebida sugiro aproveitarem promocao antes acabe
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,5,produto mto bom garrafinha vc pode ate servir agua pro megazord to pensando vender tv pra comprar 1 garrafa dessa recomendo
smartphone motorola moto g 5s dual chip android 711 nougat tela 52 snapdragon 430 32gb 4g camera 16mp platinum,nan,celulares smartphones,smartphone,4,produto excelente qualidade boa camera desenvolvimento android rapidez
ventilador teto ventisol fenix premium branco 3 velocidades controle remoto,ventisol,casa construcao,climatizacao,5,barulho minimo vento bem forte velocidade 2
kit 10 pecas fita led 12v 5050 300 leds rgb fonte,nan,casa construcao,iluminacao,1,produto nao entregue americanas descontando fatura cartao
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,5,comprei pra cara membro familia nesse natal
aspirador po philco rapid 1000n vermelhopreto 1000w,philco,eletroportateis,aspirador vassoura eletrica,5,produto maravilhoso nao barulhento facil manuseio tranquilo montar desmontar entrega antes prazo tratando epoca natal americanas parabens produto bom recomendo forca
conjunto panelas antiaderente turim 10 pecas vermelha tramontina,nan,utilidades domesticas,panelas,5,jogo panelas excelente material entrega tempo design bom
smartphone motorola moto g 5s dual chip android 711 nougat tela 52 snapdragon 430 32gb 4g camera 16mp dourado,nan,celulares smartphones,smartphone,1,celular nao vale nada bateria nao vale nada descarrega sozinha usando esquenta tanto faz medo espludi pior compra vida condicoes quebrava mil pedacos comprava outro qualquer marca menos motorola
tenis casual conforto beira rio,nan,moda,feminino,5,produto acordo esperava somente prazo entrega ficou pouco desejar pouco longo
mochila sport escolar camping trilha viagem passeio,nan,malas acessorios,mochilas,2,mochila nao fechando direito nao recomendo filho nao deixado suja ia devolver
toldo versatil artplas 120x60cm branco cristal,nan,moveis,puff tamborete,4,produto condizente anuncio material boa qualidade facil instalacao montagem preco acordo necessidade cada
smart tv led 65 samsung 65mu6100 uhd 4k hdr premium conversor digital 3 hdmi 2 usb 120hz,nan,tv home theater,tv,4,nao nada reclamar bom atendimento entrega dentro combinado
barra cereal nestle banana aveia mel 60g 3 unidades,nan,alimentos bebidas,barra cereais,4,ate agora produtos comprei entregue certo obrigado continua assim
capa protetora toyota corola cadeado,nan,automotivo,capas carro,3,capa nao decepcionou enquanto bolsa guarda transporte extremamente fragil abertura conferencia ja rasgou toda volta junto fecho pessima impressao guardala noutra embalagem pena
smartphone lg k10 dual chip android 60 marshmallow tela 53 16gb 4g camera 13mp tv digital dourado,lg,celulares smartphones,smartphone,3,produto oferece prometeu anuncio entrega rapida bem antes prazo
smart tv android led 49 tcl c2 49c2us ultra hd 4k conversor digital soundbar integrado 3 hdmi 2 usb 120hz preta,nan,tv home theater,tv,5,pontos positivos painel 10bits faz toda diferenca 1 bilhao cores bluetooth wifi ac usb 30 input lag baixo painel va proporciona alto contraste android tv 60 som tv realmente excepcional saida auto falantes sao voltados frente vem 2 controles remotos tv realmente formidavel valeu pena ter comprado tcl
cafeteira eletrica cadence single caf111 2 xicaras vermelho,cadence,eletroportateis,cafeteira,5,melhor imaginava superou expectativas
mop giratorio fit refil extra at home,nan,utilidades domesticas,material limpeza,5,super leve pratico facil manuseio perfeito p mim
camera estilo gopro sports hd 1080p esportes radicais,nan,cameras filmadoras,camera digital,5,so agradecer voces estao parabens
chaleira eletrica cadence cel800 17 litros inox prime,cadence,eletroportateis,chaleira eletrica,1,nao recebi produto americanas sabe disso pois ja relatei reclamacao diversas vezes so vao devolver dinheiro procon
camiseta speedo basic blend uv 50,speedo,vestuario esportivo,masculino,4,otimo produto comprei pessoa albina adorou super leve tecido
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,5,pra gosta qualidade preco acessivel todos eis melhor opcao
penteadeira jb 7200 banqueta amarelo jb bechara,nan,moveis,penteadeira,2,gostaria cancelar compra peco gentileza informar devo proceder
smartphone samsung galaxy a5 2016 dual chip android 51 tela 52 16gb 4g camera 13mp dourado,samsung,celulares smartphones,smartphone,4,tela impecavel prioridade tela camera cara ponto fraco fica conta armazenamento apenas 16gb camera frontal apenas 5mpixels flash entanto camera principal 13mpixels perfeita
smartphone asus zenfone 4 selfie dual chip android 7 tela 55 snapdragon 64gb 4g camera traseira 16mp dual frontal 20mp 8mp preto,nan,celulares smartphones,smartphone,5,aparelho condiz descricao super top zen fone 3 comprei esposa amando super recomendo
refil esfregao mop limpeza pratica,nan,utilidades domesticas,material limpeza,1,nao recebi segundo correio endereco errado porem outro pedido recebi
kit camera instantanea fujifilm instax mini 9 c bolsa filme 10 poses azul aqua,nan,cameras filmadoras,camera instantanea,4,bonita pratica chegou antes prazo americanas parabens
moto eletrica infantil 6v motocross vermelha homeplay,nan,brinquedos,mini veiculos,1,nan
smartphone motorola moto x4 dual cam android 70 tela 52 octacore 32gb wifi 4g camera 12mp azul topazio,nan,celulares smartphones,smartphone,5,top linha vale pena comprar gostei nao arrependo ter comprado
repetidor sinal 300mbps 24ghz tlwa850re tplink,tplink,informatica acessorios,equipamento rede wireless,5,excelente produtogostei excelente produtogostei
game pro evolution soccer 2018 xbox360,nan,games,xbox 360,4,excelente produtogostei excelente produtogostei
smartphone samsung galaxy s7 edge android 60 tela 55 128gb 4g camera 12mp black piano,samsung,celulares smartphones,smartphone,5,melhor custo beneficio exatamente anunciado recomendo
smart tv led philips 43 43pfg510278 conversor digital wifi integrado 2 usb 3 hdmi,philips,tv home theater,tv,4,sim bom produto pode comprar poblema gostei produto
smartphone motorola moto c xt1750 dual sim tela 50 8gb 5mp2mp preto,nan,celulares smartphones,celular basico,3,gostaria saber celular camera frontal
camera ip jl protec pantilt 10mp ircut onvif hd wifi audio,nan,casa construcao,seguranca,4,excecao veio marca verde inves jl protect funciona super bem coisas chinesas sao bem parecidas
lencol avulso elastico solteiro 170 fios preto,nan,cama mesa banho,lencol avulso,4,nan
smartphone motorola moto g5 plus dual chip android nougat 70 tela 52 octacore 2ghz 2gb 4g camera 12mp azul safira,motorola,celulares smartphones,smartphone,4,achei lindo too linha design lindo camera resposta boa rapida preco prazo tudo certinhoadorei celularparabens americanasnota dez
piscina retangular mor premium 5000 litros lona pvc,nan,esporte lazer,praia piscina,4,fiquei satisfeito seguranca garantia toda transacao entretanto fiz outra compra dia 2911 ate hoje nao entregue diferencia compra outra relacao entrega
conjunto potes vidro multiuso 3 pecas vermelho euro home,euro home,utilidades domesticas,utensilios acessorios domesticos,5,adorei produto bonito pratico recomendo entrega feita antes prazo
livro primeiro amor,nan,livros,literatura estrangeira,2,nao veio produto nao chegou entao nao avalia
grandiose lancome mascara cilios 01,nan,beleza perfumaria,maquiagem,5,mascara cilios incrivel pouquissimo cilios deu super efeito amei
smartphone motorola moto g 5s dual chip android 711 nougat tela 52 snapdragon 430 32gb 4g camera 16mp dourado,nan,celulares smartphones,smartphone,5,aparelho otima qualidade defeitos entrega pontualidade qualidade
livro fisica conceitual,nan,livros,ciencias exatas,5,produto chegou prazo otimo estado sido bem atendida solicito algo site
lona azul polietileno 100mc 4x4,nan,esporte lazer,camping,3,bom acabamento pratico serviu precisava
caixa som fio home theater 4x1 fm p2 bluetooth usb wm 1300 celular computador,nan,audio,micro system,4,otimo equipamento som forte portatil pratico uso
oculos lupa cabeca 8 lentes 2 leds alto brilho ourives,nan,papelaria,luminarias acessorios leitura,5,perfeito funciona bem otimo acabamento recomendo
varal recolhivel retratil parede 30 metros branco seca facil,nan,utilidades domesticas,cabide cestos varal roupas,5,produto excelencia domestico quer usar voce monta nao usa voce desmonta
escova soft brush 1000w philco,philco,beleza perfumaria,aparelhos eletricos cabelo,4,cabelos alinhados frizz rapido escova convencional aprovadissimo
smartphone motorola moto g 5s plus dual chip android 711 nougat tela 55 snapdragon 625 32gb 4g 13mp camera dual cam ouro rosa,nan,celulares smartphones,smartphone,1,camera frontal terrivel tanto faz ta claro escuro foto fica ruim qualquer jeito arrependida
hd externo portatil seagate expansion 1tb usb 30,seagate,informatica acessorios,hd externo,5,gostei produto valeu pena compra atendeu objetivo adquirido
tablet samsung galaxy tab s pen p355m 16gb wifi 4g tela 8 android 50 quadcore branco,samsung,informatica,tablet ipad,5,util pesquisas baixar publicacoes videos usando app jw library parabens
extensor 10cm grade porta portao utilar,nan,casa construcao,portas janelas portoes,1,nao recebi produto transportadora colocou recebi preciso receber produto
secador taiff fox ion 2000w preto 127v,nan,relogios,relogios,3,secador bom cumpre papel secador mediano nao nada especial nao acho vale custa soubesse investido outro melhor menos outro provavelmente faria mesma coisa
capa protetora chevrolet s10 forro parcial,nan,automotivo,capas carro,5,recomendo produto bom material boa qualidade
tequila mexicana especial 750ml jose cuervo,jose cuervo,alimentos bebidas,bebidas alcoolicas,4,parece original veio lacres tudo certoentregou ate rapido final ano
bateria notebook samsung rv410 preta,nan,informatica acessorios,acessorios notebook,4,produto funciona corretamente bom importante sempre destacar anuncio bateria boa marca diferente marca samsung
repetidor sinal 300mbps 24ghz tlwa850re tplink,tplink,informatica acessorios,equipamento rede wireless,3,produto cumpre fala unico porem internet cai pouco velocidade
boneca brinquedo maquiar magic top model,nan,brinquedos,bonecas,5,neta encantada boneca entrega melhor ainda antes prazo entrega parabens
fone ouvido confort microfone chamadas preto,nan,audio,fones ouvido,1,claro q nao esperava fone maravilhoso som q vem desse fone horrivel equipara comprado emcamelos
controle fio xbox 360 slim fat pc joystick feir,nan,games,xbox 360,4,produto atendeu necessidade entrega excelente
smartphone motorola moto g 5s dual chip android 711 nougat tela 52 snapdragon 430 32gb 4g camera 16mp dourado,nan,celulares smartphones,smartphone,4,bom bastante memoria camera excelente outros recomendo
teclado musical 61 teclas estudante bivolt stk61 waldman,nan,instrumentos musicais,piano orgao teclado,3,bom pra crianca pois teclas pequenas
bicicleta infantil aro 20 sport bike flowers cadeirinha boneca,nan,brinquedos,bicicleta infantil,4,nan
patinete samia aluminio ajustavel kyn infantil,nan,brinquedos,patinete infantil,1,comprei produto dia 3011 ate hoje dia 0101 nao chegou vergonha dao prazo nao cumprir nao adianta falar devido movimento final ano pois pedi outro produto outro site 8 dias casa nao compro
purificador agua consul eletronico cpb34as refrigerado bivolt classe tripla filtragem,nan,eletroportateis,bebedouro purificador agua,5,agua gelada disposicao turma bebe agua otimo aparelho silencioso bonito espaco acomodar jarra pode parecer pouca diferenca pegar agua geladeira filtro considerando geladeira ha outras opcoes bom beber agua pratica mostrou vale pena facilidade saude agradece
cantoneira mao francesa no05 ferro fundido tamanho 22x30cm,nan,casa construcao,ferragem,2,produto acabamento regular parte final pecas vieram corte torto vale preco acessivel comparado outros lojas
acessorios boneca baby alive refil comidinha massinha hasbro,nan,brinquedos,bonecas,2,achei produto inferior pois bonecas qualidade bem melhor porem kit deixou desejar massinhas sao tao pequenas quase comprar umas 3 cada pra fazer alguma coisa masssss ok
cafeteira italiana aluminio preta 9 xicaras cafes,nan,utilidades domesticas,utensilios acessorios domesticos,5,adorei cafeteira encaixe perfeito nao passa po cafe prontominha antiga passava
panificadora multi pane britania,britania,eletroportateis,cozinha criativa,5,adorei agora faco paes casa qualidade saudaveis
smartphone samsung galaxy on 7 dual chip android 51 tela 55 16gb 4g camera 13mp dourado,samsung,celulares smartphones,smartphone,4,entrega sempre prazo muitas vezes ate antes produto custo beneficio bom recomendo tanto site quanto produto
mesa escritorio me4109 amendoa tecno mobili,tecno mobili,moveis,mesa,5,resistente bonita super espacosa serviu bem comprada
cortina blackout voil pratika slim 260x230m bella janela,nan,cama mesa banho,cortina,1,produto completamente diferente descricao foto nao recomendo
almofada bola pelucia palmeiras,nan,decoracao,almofadas capas,5,linda bola pelucia acabamento impecavel poderiam fazer tamanho pequeno tambem bebes produto bom
ventilador chao britania c50 turbo oscillation 3 velocidades cromado,britania,casa construcao,climatizacao,1,absurdo ate agora nao entregou comprei pra entregar ate 18122017 ate hoje nao entregue hoje dia 01012018
forno eletrico oster 25l prata,oster,eletroportateis,forno eletrico,5,produto primeira tamanho adequado 1 2 pessoas
acqua posto nig brinquedos,nan,brinquedos,veiculos brinquedo,1,produto pessima qualidade quase tudo papelao nao acompanha carrinhos produto qualidade inferior nao comprem nao iludam filhos produto lixo
pelicula vidro 3d premium bordas fibra carbono apple iphone 6 plus 55 bordas pre,nan,celulares smartphones,acessorios celular,5,bom produto excelenteentrega rapido recomendadissimo
gerador energia gasolina 6000w 13hp mg6000cl motomil,nan,ferramentas jardim,ferramentas eletricas,3,nunca tao esperancoso receber produto porem ainda nao encontra maos portanto prefiro avalialo apos chegada att amador
compressor ar 20hp 24 litros tekna 127v,nan,ferramentas jardim,compressores pistolas ar,1,loja ruim cancelou compra solicitacao cancelamento comunicou cliente
mini boneca supresa lol lil outrageous littles serie 2 candide,nan,brinquedos,bonecas,5,recomendo produto original tudo ok entregue dentro prazo prometido
skate street semiprofissional shaun white estampado,shaun white,esporte lazer,skate,4,produto bom shape resistente bonito truck qualidade macio
tenda gazebo 3x3 m azul bel fix,nan,moveis,nan,1,ate hoje nao recebi produto nao recomendo loja pra ninguem presente natalpessimo atendimento nenhum esforco atendetes melhorar entregato dessa loja
torneira monocomando baixa vidro waterfall cascata,nan,casa construcao,ferragem,4,otimo produto facil instalacao bonita moderna
mixer britania mixer triturador alimentos 2 preto 200w 2 velocidades 1 batedor 1 mixer recipiente copo,britania,eletroportateis,mixer processador alimentos,5,pequeno compacto muitoooooooo eficiente ameiiiiiiii recomendo
game forza motorsport 7 xbox one,nan,games,xbox one,4,otimo produto original recomendo todos podem comprar prazo entrega dentro esperado preco atrativo parabens americanas farei compras futuras
batedeira planetaria philco php500 turbo pr preto,nan,eletroportateis,batedeira acessorios,5,super bonita potente demorou chegar preco otimo recomendo
whisky ballantines finest 1l,ballantines,alimentos bebidas,bebidas alcoolicas,5,bom principalmente prazo entrega qualidade envio produto
tapetes sala peludos 200x240 cinza mesclado luxo felpudo,nan,cama mesa banho,tapetes,4,tapete suave toque sedosos cor mesclada ar maravilhoso ambiente
carro extreme c radio controle 7 funcoes 122 azul candide,candide,brinquedos,brinquedos controle remoto,1,procurei carrinho bateria ficar livre pilhas bateria demora carregar dura 5 minutos presente natal frustacao nao recomendo brinquedo
cafeteira italiana inox 9 xicaras kehome,nan,eletroportateis,cafeteira,1,alem vazar po cafe jarra escurece pessima qualidade tomar cafe po ne
boneco falcon turbocoptero estrela,nan,brinquedos,bonecos,5,produto bom atende propoe xxxxxxxxxx xxxxccccxxxxx ososoosososososiisisizizizi ososoosososiz
fone ouvido fio favix b01 bluetooth fm sd card fxb01 hiwi mega bass,nan,audio,fones ouvido,1,primeira vez uso guarda fone caixa espuminha saiu fone pra colocar lugar leva tempo
smartphone samsung galaxy j2 prime tv dual chip android 60 tela 5 quadcore 14 ghz 16gb 4g camera 8mp preto,samsung,celulares smartphones,smartphone,4,recomendo tanto produto quanto loja produto conforme anunciado entrega antes prazo previstomuito bom
cafeteira expresso mondial espresso coffee cream c08 preta 15 bar,mondial,eletroportateis,cafeteira,3,nao recebi produto ainda devido feriado passagem ano produto nao chegou ainda maos
pen drive 32gb sandisk ultra dual drive usb 30 preto,sandisk,informatica acessorios,pen drive,3,comprei pen drive so imagem nao condiz produto veio outro modelo
smartphone samsung galaxy j1 mini dual chip android 51 tela 4 8gb 3g wifi camera 5mp preto,samsung,celulares smartphones,smartphone,1,ainda nao recebi pedido muita irresponsabilidade loja colocou entregue ainda nao recebi nada
robo aspirador po ropo glass limpeza programavel controle remoto preto,ropo,eletroportateis,aspirador vassoura eletrica,5,ropo cumpre promete deve dar muita atencao uso bateria prolongar vida util mesma
modelador cachos preto,nan,beleza perfumaria,cabelo,5,excelente produto esquenta formato desejado adorei recomendo
protetor sofa manu 2 3 lugares dupla face tecido microfibra caquimarrom,nan,cama mesa banho,mantas capas pra sofa,3,basico gostei menos aparencia propaganda nao retrata produto
mixer britania mixer triturador alimentos 2 preto 200w 2 velocidades 1 batedor 1 mixer recipiente copo,britania,eletroportateis,mixer processador alimentos,3,bom produto feliz semana 2018 cheio amor alegrias grandes realizacoes
capa banco moto termica impermeavel ventilada motocicleta cor preta q80150,nan,automotivo,pecas motos,4,adorei recomendo todos perfeita protecao moto detalhe produto chegou antes prazo perfeito protege continua impermeavel super recomendo ha detalhes marido quer compro pra
purificador agua polar wp1000bwp2000b eletronico branco,polar,eletroportateis,bebedouro purificador agua,4,bom produtogela medida certafacil entalacao
mini filmadora hd 1080p resistente esportes prova d agua 30m usb,nan,cameras filmadoras,camera digital,1,camera nao wifi anunciado todos acessorios constam descricao fotos vem camera
smartphone motorola moto z2 play dual chip android 711 nougat tela 55 octacore 22 ghz 64gb camera 12mp ouro,motorola,celulares smartphones,smartphone,5,celular fantastico rapido muita capacidade leve tira fotos altissima qualidade facil usar
mesoestetic cosmelan 2,nan,saude,nan,1,nan
kit 10 lampadas super led 9w branco frio bulbo bivolt 110220v e27,nan,casa construcao,iluminacao,4,produto entregue dentro prazo acordo descricao recomendo todas funcionando perfeitamente
dvd guardioes galaxia vol 2,nan,filmes series,aventura,5,excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente excele nte excelente excelente excelente excelente excelente excelente excelente excelente excelente excelente
esfregao mop limpeza giratorio balde verde agua 2 refis mop8210 flash limp,nan,utilidades domesticas,utensilios acessorios domesticos,4,produto bom problemas entrega site marcado prazo nao cumprido so 20 dias la entrou contato comigo perguntando ainda queria produto so recebi produto 28 dias portanto recomendo produto nao recomendo la nao vc queira passar muita raiva
microondas electrolux mtd30 20 litros branco,electrolux,eletrodomesticos,microondas,3,produto sempre entregue antes prazo parabens americanascom agilidade
smart tv led 43 philips 43pug610278 ultra hd 4k conversor digital 4 hdmi 2 usb wifi 60hz preta,nan,tv home theater,tv,4,autoprograma facilitando dificuldades informatica apenas audio todas tvs samsung sao baixo ruim segunda tv samsung infelizmente audio deixa desejar
adega vinhos philco 16 garrafas ph16e,philco,eletrodomesticos,adega climatizada,4,otimo custo beneficio tamanho ideal silenciosa mantem temperatura
travesseiro molas cervical gomos massageadores duoflex,nan,cama mesa banho,travesseiros,4,antes travesseiro comum acordava dores pescoco passava pra cabeca agora acordo dores produto bom pra mim parabens recomendo
cafeteira expresso arno nescafe dolce gusto mini 15 bar automatica preto,arno,eletroportateis,cafeteira,4,produto otima qualidadefacil usar vale pena
oculos lupa cabeca 8 lentes 2 leds alto brilho ourives,nan,papelaria,luminarias acessorios leitura,4,bacana gente aproximar peca atrapalha executar solda ex
game pes 2017 xbox 360,nan,games,xbox one,5,bom cada ano jogabilidade fica parecido real
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,1,bom achar anuncios pois nao sabia dava pra fazer falsas avaliacoes sobre produtos faz americanas perca confiabilidade ver onde copo barato pessimo
beerus dragon ball z tamashii buddies bandai,nan,brinquedos,bonecos,5,otimo produto colecionadormuito bonito boa fabricante excelente
tapete carpete hyundai creta 2017 preto,nan,automotivo,nan,3,gostei produto gostei produto gostei produto
